"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
40,"2","A","1","old","0","0","0","0","0","1","0","1","1","4.17121113999997","1",196
40,"2","B","2","old","1","1","1","1","0","1","0","1","2","1.81061220400011","1",196
40,"2","A","1","old","1","0","1","0","1","1","1","1","2","2.43353137500003","0",196
40,"2","A","1","old","0","1","0","0","1","0","1","1","1","2.90522534699994","1",196
40,"2","B","2","new","1","1","1","1","0","0","1","1","2","2.28410726100014","1",196
40,"1","A","1","new","0","0","0","0","0","1","1","1","1","1.28218602400011","1",196
40,"2","B","2","old","1","1","1","0","0","0","1","0","2","2.4058926570001","1",196
40,"3","A","1","new","0","0","0","0","0","1","0","0","1","1.42348564700001","1",196
40,"2","A","1","new","0","1","0","1","1","1","1","1","1","1.06058674999986","1",196
40,"2","B","2","new","0","1","1","1","0","0","1","0","2","1.23054715900003","1",196
40,"2","B","2","new","1","1","1","1","1","0","0","1","2","1.55439909100005","1",196
40,"2","A","1","old","0","0","0","1","1","1","1","0","1","1.043416729","1",196
40,"2","A","1","old","1","0","1","0","1","1","1","1","1","2.00824712999975","1",196
40,"3","B","2","new","1","1","1","1","1","1","0","1","1","1.78448173600009","0",196
40,"2","B","2","old","1","0","0","1","0","0","0","0","1","1.45134533200007","0",196
40,"2","A","1","old","0","1","0","0","1","0","1","1","1","1.31247220800014","1",196
40,"3","A","1","new","0","1","1","0","0","1","1","1","2","1.38000152699988","0",196
40,"2","A","1","new","0","0","0","0","1","0","1","0","1","1.50411095500021","1",196
40,"1","A","1","new","0","0","0","1","1","1","1","1","1","0.844471690000319","1",196
40,"2","A","1","old","0","0","0","1","1","1","1","0","1","0.837683871000081","1",196
40,"1","A","1","new","0","0","0","0","1","0","1","1","1","0.878755446000014","1",196
40,"2","B","2","new","0","1","1","1","0","0","0","1","2","1.11274081900001","1",196
40,"1","A","1","new","1","0","0","0","1","1","1","1","1","2.17954123200025","1",196
40,"2","A","1","new","0","0","1","1","1","1","1","1","2","1.08741119099977","0",196
40,"1","B","2","new","1","1","0","1","0","0","0","0","1","0.717457485000068","0",196
40,"3","B","2","new","1","1","1","0","0","1","1","0","1","2.0383672400003","0",196
40,"1","B","2","new","0","1","1","1","0","0","0","0","2","2.17418806400019","1",196
40,"2","B","2","old","0","1","1","1","1","0","0","0","2","0.952996845000143","1",196
40,"3","A","1","new","0","0","0","0","1","0","0","0","1","0.851950765000311","1",196
40,"1","B","2","new","1","1","1","1","0","0","0","1","2","1.20800349199999","1",196
40,"3","B","2","new","1","1","0","1","1","0","1","0","1","1.50275171300018","0",196
40,"0","A","1","new","0","0","0","0","1","1","1","1","1","1.43765626499999","1",196
40,"3","B","2","new","0","1","0","1","0","0","0","1","1","0.747122122999826","0",196
40,"3","A","1","new","1","1","1","0","1","1","1","1","2","2.24427714600006","0",196
40,"3","B","2","new","0","1","1","0","0","1","0","0","2","2.43130789800034","1",196
40,"1","B","2","new","1","1","1","0","0","0","0","0","2","0.824080480000248","1",196
40,"3","B","2","new","0","0","1","0","0","0","0","0","2","2.74905510899998","1",196
40,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.16626904499981","1",196
40,"2","A","1","old","0","0","0","0","0","1","0","1","1","0.952379026000017","1",196
40,"3","A","1","new","0","0","0","1","0","1","0","1","1","0.970014859000003","1",196
40,"3","A","1","new","1","0","0","0","1","0","1","0","1","1.01983549600027","1",196
40,"2","A","1","new","0","1","1","0","1","1","1","1","2","1.13109488200007","0",196
40,"1","A","1","new","0","0","1","0","1","1","1","1","2","1.24958756499973","0",196
40,"2","B","2","new","1","1","1","0","0","1","0","0","2","1.48351920499999","1",196
40,"2","A","1","new","1","0","0","0","0","1","1","1","1","1.15572230799989","1",196
40,"1","B","2","new","1","1","1","1","0","1","0","0","2","3.81823894599984","1",196
40,"1","B","2","new","1","1","1","1","1","0","0","0","2","2.31033131300001","1",196
40,"2","B","2","old","1","1","1","0","0","0","1","0","2","1.84794729600026","1",196
40,"3","A","1","new","1","0","0","0","0","1","0","1","1","1.18218770400017","1",196
40,"3","A","1","new","1","0","1","0","0","1","1","1","2","1.20379424199973","0",196
40,"2","A","1","new","0","1","0","0","1","1","1","0","1","0.975165483000183","1",196
40,"2","B","2","new","1","1","0","1","0","0","0","1","1","0.826936408000165","0",196
40,"1","A","1","new","0","0","0","0","1","1","1","0","1","0.769498784999996","1",196
40,"1","A","1","new","0","1","0","0","1","1","1","1","1","0.759886930999983","1",196
