"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
1,"2","A","1","old","1","0","0","0","0","1","1","1","None",NA,NA,103
1,"2","B","2","new","1","1","0","1","0","1","0","0","2","2.61417012399988","1",103
1,"2","A","1","old","0","1","0","0","1","1","1","0","1","1.15874984600032","1",103
1,"3","B","2","new","1","1","0","1","0","1","1","0","2","1.2322271590001","1",103
1,"2","B","2","old","1","1","0","1","0","0","1","0","2","2.95946499299998","1",103
1,"2","B","2","new","0","1","1","1","0","0","1","0","1","0.977756188000058","0",103
1,"1","B","2","new","1","1","1","1","0","1","0","0","2","1.70572550800034","1",103
1,"1","B","2","new","1","1","1","0","0","0","0","0","1","1.98863849200006","0",103
1,"2","B","2","new","0","1","1","0","0","0","0","0","1","1.67268089500021","0",103
1,"3","B","2","new","0","0","1","1","1","0","0","0","1","1.59075331600025","0",103
1,"2","A","1","old","0","0","1","0","1","1","0","1","1","0.95881515200017","1",103
1,"2","B","2","old","0","0","1","1","0","0","0","0","1","1.74201943199978","0",103
1,"2","A","1","new","1","0","0","0","1","1","0","1","1","2.06761575900009","1",103
1,"3","A","1","new","0","1","1","0","0","1","1","1","1","0.87181718399961","1",103
1,"3","A","1","new","0","1","0","1","0","1","1","1","2","1.67362549300015","0",103
1,"1","A","1","new","0","0","0","0","1","1","1","0","1","1.18428652900002","1",103
1,"2","A","1","new","0","1","1","0","1","1","1","1","1","1.17038996199972","1",103
1,"3","A","1","new","0","0","1","0","0","1","0","1","1","1.38265723799987","1",103
1,"3","B","2","new","0","1","0","1","0","0","1","0","1","1.35617458700017","0",103
1,"3","B","2","new","1","1","1","1","1","1","0","1","2","2.31269839499964","1",103
1,"3","A","1","new","0","0","0","1","1","1","0","0","2","1.80529753400015","0",103
1,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.87674575599976","1",103
1,"2","B","2","old","1","1","0","1","0","0","1","0","2","2.21689837900021","1",103
1,"2","A","1","new","1","0","0","0","1","0","1","1","2","2.28906389599979","0",103
1,"1","B","2","new","1","1","1","1","0","0","1","0","2","1.19592402199987","1",103
1,"3","A","1","new","1","1","0","0","0","1","1","1","2","1.57389147799995","0",103
1,"0","A","1","new","0","0","0","0","1","1","1","1","1","1.61875568400001","1",103
1,"2","B","2","new","1","0","1","1","0","0","1","0","2","2.33072630300012","1",103
1,"3","B","2","new","1","1","1","1","1","1","1","0","2","1.8041444749997","1",103
1,"2","B","2","new","1","1","1","1","1","0","0","1","2","1.64163763900024","1",103
1,"2","B","2","new","1","1","0","1","1","0","0","0","2","1.34552031300018","1",103
1,"1","A","1","new","0","1","0","0","1","1","1","1","1","0.751521560000128","1",103
1,"1","A","1","new","0","0","0","0","1","0","1","1","1","1.65048421900019","1",103
1,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.5465022960002","1",103
1,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.56061842600002","1",103
1,"3","B","2","new","1","0","1","0","0","0","0","1","2","4.90238876900003","1",103
1,"1","A","1","new","0","0","0","0","1","1","0","1","1","0.986794887999622","1",103
1,"2","A","1","new","1","0","1","0","1","1","1","1","2","1.2609783009998","0",103
1,"3","A","1","new","0","0","0","1","0","1","0","1","2","1.35871456799987","0",103
1,"2","A","1","new","0","0","1","0","1","1","1","0","1","1.95120435499984","1",103
1,"2","A","1","old","1","0","0","0","0","1","1","1","2","1.50562390200002","0",103
1,"1","A","1","new","0","0","0","1","1","1","1","1","1","2.08907921900027","1",103
1,"0","A","1","new","0","0","0","0","1","1","1","1","1","1.627236111","1",103
1,"1","B","2","new","1","1","1","1","0","0","0","1","2","1.28019004200041","1",103
1,"1","B","2","new","1","1","0","1","0","0","0","0","2","2.63284121199968","1",103
1,"1","B","2","new","0","1","1","1","0","0","0","0","1","2.35958313900028","0",103
1,"2","B","2","old","1","1","1","0","0","0","0","1","2","1.62412304899999","1",103
1,"3","B","2","new","1","1","0","1","1","1","0","0","2","2.34588491300019","1",103
1,"1","B","2","new","1","0","1","1","0","0","0","0","2","1.39493712899957","1",103
1,"2","A","1","old","0","1","0","0","1","1","1","0","1","1.25856549899981","1",103
1,"2","A","1","new","1","1","0","0","1","1","1","1","2","1.41971246100002","0",103
1,"1","A","1","new","0","0","1","0","1","1","1","1","1","1.87140209300014","1",103
1,"1","A","1","new","0","0","0","0","0","1","1","1","1","3.59127785100009","1",103
1,"2","A","1","old","0","0","1","0","1","1","0","1","1","1.59884544999977","1",103
1,"2","B","2","old","1","1","1","0","0","0","0","1","2","1.52657510399968","1",103
1,"2","A","1","old","0","0","0","1","1","0","1","1","2","3.19449215399982","0",103
1,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.39332036500036","1",103
1,"2","A","1","old","0","0","0","1","1","0","1","1","2","2.05483039299997","0",103
1,"3","A","1","new","1","0","1","0","1","0","1","1","2","1.83311891800031","0",103
1,"2","A","1","new","0","0","0","0","1","1","0","0","1","2.77417129299965","1",103
1,"2","B","2","new","0","1","1","1","0","1","0","0","2","2.60076950899975","1",103
1,"3","B","2","new","1","0","1","1","0","0","1","1","2","1.57199446200002","1",103
1,"2","A","1","new","0","0","0","0","0","1","1","0","1","1.18925244899992","1",103
1,"3","A","1","new","0","1","1","0","1","1","0","1","None",NA,NA,103
1,"1","A","1","new","1","0","0","0","1","1","1","1","2","1.67388648999986","0",103
1,"2","B","2","new","0","1","0","1","0","0","0","0","2","2.70544082299966","1",103
1,"2","B","2","old","0","0","1","1","0","0","0","0","None",NA,NA,103
1,"1","B","2","new","1","1","1","1","1","0","0","0","2","1.09563585199976","1",103
