"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
33,"2","B","2","old","1","1","0","0","1","1","1","1","2","3.31351001500025","1",184
33,"1","B","2","new","1","1","0","1","1","1","1","1","2","1.69901709900023","1",184
33,"3","B","2","new","1","0","0","1","0","1","1","1","2","1.69943824199981","1",184
33,"1","A","1","new","1","0","0","0","0","0","0","0","1","3.16962844099999","1",184
33,"1","B","2","new","1","1","1","1","1","0","1","1","2","1.21249910099959","1",184
33,"2","A","1","old","0","0","0","0","0","0","1","1","1","1.91128119699988","1",184
33,"1","B","2","new","1","1","1","0","1","1","1","1","2","2.47456077100014","1",184
33,"2","A","1","new","0","1","0","0","0","0","1","0","1","4.90637730700018","1",184
33,"2","A","1","old","0","0","1","1","0","0","0","0","1","2.62449503600055","1",184
33,"3","A","1","new","0","0","0","1","1","1","0","0","1","3.94697910200011","1",184
33,"2","A","1","new","0","1","0","1","0","0","0","0","1","3.36909018299957","1",184
33,"2","B","2","old","0","0","1","1","1","1","1","1","2","2.47381438400043","1",184
33,"2","A","1","new","0","0","0","0","0","1","0","1","2","2.41494167600013","0",184
33,"1","B","2","new","1","1","1","1","0","1","1","1","2","2.43639536599949","1",184
33,"2","B","2","new","1","1","1","1","1","0","0","1","2","3.65789585899984","1",184
33,"3","A","1","new","0","0","0","1","1","0","1","0","1","1.99151307400007","1",184
33,"2","B","2","old","0","0","1","1","1","1","1","1","2","1.30654150999999","1",184
33,"2","B","2","old","1","1","1","1","0","0","1","1","2","1.57646947899957","1",184
33,"2","A","1","new","0","0","1","0","0","0","1","0","1","1.41897662999963","1",184
33,"1","A","1","new","0","0","1","0","0","0","0","0","1","1.07831444800013","1",184
33,"0","A","1","new","0","0","0","0","0","0","0","0","1","0.986078791999716","1",184
33,"1","A","1","new","0","0","0","0","1","0","0","0","1","1.20924509899942","1",184
33,"0","A","1","new","0","0","0","0","0","0","0","0","1","1.48898759599979","1",184
33,"0","B","2","new","1","1","1","1","1","1","1","1","2","2.27820323500055","1",184
33,"1","A","1","new","0","0","0","0","0","0","1","0","1","1.7668733950004","1",184
33,"3","B","2","new","1","1","0","1","0","1","1","0","2","1.75755041699995","1",184
33,"1","A","1","new","0","1","0","0","0","0","0","0","1","1.78728441200019","1",184
33,"3","A","1","new","0","1","1","0","0","0","1","0","1","1.51068854500045","1",184
33,"2","B","2","new","1","1","1","0","1","1","1","0","2","3.08411083900046","1",184
33,"2","B","2","old","1","1","1","1","1","1","0","0","2","4.2050053389994","1",184
33,"2","B","2","new","1","1","0","1","1","0","1","1","2","2.72027358800005","1",184
33,"2","B","2","old","1","1","1","1","1","1","0","0","2","3.72507408500041","1",184
33,"2","A","1","new","0","0","0","0","1","0","0","1","1","4.1432684069996","1",184
33,"2","B","2","new","1","0","1","1","1","1","1","0","1","3.8160163929997","0",184
33,"2","A","1","old","0","0","0","0","1","1","0","0","1","1.91140929999983","1",184
33,"2","B","2","new","1","0","1","0","1","1","1","1","2","1.56889158400008","1",184
33,"3","B","2","new","1","1","1","1","1","0","0","0","1","4.00981711599979","0",184
33,"1","B","2","new","1","1","1","1","1","1","1","0","2","1.37764295000034","1",184
33,"2","A","1","old","0","0","0","0","1","1","0","0","1","1.9454468240001","1",184
33,"3","A","1","new","1","0","0","0","0","1","1","0","1","1.57543375900059","1",184
33,"3","A","1","new","1","1","0","0","0","0","0","1","2","1.54044572600014","0",184
33,"2","A","1","new","1","0","1","0","0","0","0","0","1","1.64147189400046","1",184
33,"2","B","2","old","1","1","1","1","0","0","1","1","2","1.85822379699948","1",184
33,"2","A","1","old","0","0","0","0","0","0","1","1","1","1.80997278500035","1",184
33,"3","A","1","new","0","0","1","0","1","1","0","0","1","2.11516676200063","1",184
33,"3","B","2","new","1","0","1","0","0","1","1","1","None",NA,NA,184
33,"0","B","2","new","1","1","1","1","1","1","1","1","2","3.02299000600033","1",184
33,"2","B","2","new","1","1","1","1","1","0","1","0","1","3.9794893849994","0",184
33,"2","A","1","old","1","1","0","0","0","0","0","0","1","3.45565851599986","1",184
33,"2","A","1","old","1","1","0","0","0","0","0","0","1","1.47054545399988","1",184
33,"2","A","1","old","0","0","1","1","0","0","0","0","1","2.59639388400046","1",184
33,"3","B","2","new","0","1","1","0","1","1","1","0","1","3.81846242600022","0",184
33,"3","A","1","new","0","0","0","0","0","1","1","1","2","3.51699718999953","0",184
33,"1","B","2","new","0","1","1","1","1","1","1","1","None",NA,NA,184
33,"3","B","2","new","1","0","1","1","1","1","0","0","1","3.9430182670003","0",184
33,"2","A","1","new","1","0","0","0","0","1","0","0","1","2.68492649200016","1",184
33,"1","A","1","new","0","0","0","1","0","0","0","0","1","4.58815169799982","1",184
33,"2","B","2","old","1","1","0","0","1","1","1","1","2","1.9388593120002","1",184
33,"1","A","1","new","0","0","0","0","0","1","0","0","1","3.61268456700054","1",184
