"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
49,"3","B","2","new","1","1","1","0","0","0","1","1","None",NA,NA,206
49,"2","A","1","new","0","0","1","1","1","1","1","1","1","0.991641725999216","1",206
49,"3","A","1","new","1","1","0","1","1","1","1","1","1","2.56403728000078","1",206
49,"2","B","2","old","1","1","0","1","1","0","0","0","2","1.46401707900077","1",206
49,"1","A","1","new","0","0","0","0","1","1","1","0","1","1.04808700099966","1",206
49,"2","A","1","old","0","0","0","1","1","0","1","1","1","2.06983280900022","1",206
49,"1","B","2","new","1","1","1","0","0","0","0","0","2","1.30376789599904","1",206
49,"2","A","1","new","0","0","0","0","0","1","0","1","1","1.04667809599778","1",206
49,"2","A","1","old","0","0","1","0","0","1","1","1","1","1.17460373500217","1",206
49,"2","A","1","old","0","0","0","1","1","0","1","1","1","0.811652988002606","1",206
49,"2","B","2","new","0","1","1","1","1","0","0","0","2","2.72281632400336","1",206
49,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.15909957099939","1",206
49,"2","B","2","new","1","1","1","0","0","0","0","1","2","1.29238707399782","1",206
49,"3","A","1","new","0","0","1","1","1","1","1","0","1","1.94754488500257","1",206
49,"1","B","2","new","1","1","1","1","1","0","0","0","2","3.17493801399905","1",206
49,"2","B","2","new","1","1","1","1","1","1","0","0","2","0.982075978001376","1",206
49,"2","B","2","old","1","0","1","0","0","0","0","0","2","0.890358055999968","1",206
49,"1","A","1","new","0","1","0","0","1","1","1","1","1","2.69194416000028","1",206
49,"2","B","2","old","0","1","1","1","0","0","1","0","2","2.09709032899991","1",206
49,"3","A","1","new","0","0","1","1","0","1","1","1","1","1.480135668","1",206
49,"2","A","1","old","0","0","1","0","0","1","1","1","1","1.66687400700175","1",206
49,"1","B","2","new","1","1","1","1","0","1","0","0","2","1.56201246300043","1",206
49,"2","A","1","new","1","0","1","0","1","1","1","1","2","1.65901108399703","0",206
49,"2","A","1","new","0","0","0","1","1","1","0","1","1","1.41794833300082","1",206
49,"3","B","2","new","1","1","0","1","0","1","0","1","2","1.92593509899962","1",206
49,"2","B","2","new","1","0","1","1","0","1","0","0","2","1.35980956999992","1",206
49,"1","B","2","new","0","1","1","1","0","0","0","0","2","1.15081732399995","1",206
49,"2","B","2","new","0","1","1","1","0","0","0","1","2","1.21156722699743","1",206
49,"1","A","1","new","0","0","1","0","1","1","1","1","1","1.23555384900101","1",206
49,"3","B","2","new","1","0","1","1","1","1","0","0","2","1.31032214700099","1",206
49,"3","B","2","new","1","1","1","0","0","1","1","0","2","1.09781733099953","1",206
