"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
39,"0","A","1","new","0","0","0","0","0","0","0","0","1","1.8443187879966","1",195
39,"2","A","1","old","0","1","0","0","1","0","0","0","1","1.10393337999994","1",195
39,"2","A","1","new","0","1","1","0","0","0","0","0","1","0.550999796003453","1",195
39,"2","A","1","old","1","0","0","1","0","0","0","0","1","1.40837437700247","1",195
39,"1","B","2","new","1","1","1","1","1","0","1","1","2","1.58459671799937","1",195
39,"0","A","1","new","0","0","0","0","0","0","0","0","1","0.75756952699885","1",195
39,"1","A","1","new","0","0","1","0","0","0","0","0","1","0.663199061003979","1",195
39,"1","B","2","new","1","1","1","0","1","1","1","1","2","0.903432437997253","1",195
39,"1","B","2","new","1","1","1","1","1","1","1","0","2","1.07969614300237","1",195
39,"3","B","2","new","0","0","1","1","0","1","1","1","2","1.49336643300194","1",195
39,"0","B","2","new","1","1","1","1","1","1","1","1","2","0.684527908000746","1",195
39,"3","B","2","new","0","1","0","0","1","1","1","1","2","0.769255074999819","1",195
39,"2","A","1","old","0","0","1","0","0","1","0","0","1","1.90658961499867","1",195
39,"2","B","2","new","1","1","1","1","0","0","1","1","2","2.28888270499738","1",195
39,"3","A","1","new","0","0","0","0","1","1","0","1","1","4.32118029700359","1",195
39,"3","A","1","new","0","1","0","1","0","1","0","0","1","1.68719760800013","1",195
39,"2","A","1","new","0","1","0","0","0","1","0","0","1","1.33523376499943","1",195
39,"2","B","2","new","1","0","1","1","1","1","1","0","2","2.02208688799874","1",195
39,"3","A","1","new","1","1","0","0","0","0","1","0","2","2.03908788999979","0",195
39,"2","B","2","old","1","1","1","1","1","1","0","0","2","4.34202664400073","1",195
39,"3","A","1","new","0","0","1","0","0","1","0","1","1","2.92793447800068","1",195
39,"2","A","1","new","0","0","1","1","0","0","0","0","1","2.94653507300245","1",195
39,"1","A","1","new","1","0","0","0","0","0","0","0","2","3.26255990399659","0",195
39,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.75762122600281","1",195
39,"2","A","1","new","0","0","1","0","0","0","1","0","1","3.19641965900519","1",195
39,"3","B","2","new","1","0","1","1","1","0","1","0","1","1.70650720399863","0",195
39,"2","B","2","new","1","0","1","1","1","1","0","1","2","2.04060181500245","1",195
39,"2","A","1","old","1","0","0","1","0","0","0","0","1","1.55856612000207","1",195
39,"1","B","2","new","0","1","1","1","1","1","1","1","1","2.28912036700058","0",195
39,"3","A","1","new","1","0","0","0","0","1","1","0","2","0.913456823996967","0",195
39,"2","B","2","old","1","0","1","1","0","1","1","1","2","1.79409544299415","1",195
39,"2","A","1","old","0","1","0","0","1","0","0","0","1","1.35206231099437","1",195
39,"3","A","1","new","0","0","0","1","0","1","0","1","1","2.48423225999431","1",195
39,"2","A","1","old","0","0","0","0","0","0","1","1","1","2.36080212899833","1",195
39,"2","B","2","old","0","1","1","0","1","1","1","1","1","1.10909253200225","0",195
39,"3","B","2","new","0","0","0","1","1","1","1","1","1","2.05702112700237","0",195
39,"3","A","1","new","0","0","1","1","0","1","0","0","1","2.23381455700292","1",195
39,"2","A","1","new","1","0","0","0","0","0","1","0","2","1.9188871419974","0",195
39,"2","B","2","old","1","1","0","1","1","0","1","1","2","1.30396931300493","1",195
39,"2","A","1","old","0","0","0","0","0","0","1","1","1","1.72455070800061","1",195
39,"2","A","1","new","1","0","0","0","1","0","0","0","1","1.36944366199896","1",195
39,"1","A","1","new","0","1","0","0","0","0","0","0","1","0.518879199000366","1",195
39,"2","A","1","new","1","0","0","1","0","0","0","0","1","0.596182806002616","1",195
39,"1","B","2","new","1","1","1","1","0","1","1","1","2","2.00351937999949","1",195
