"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
34,"1","A","1","new","0","0","0","0","1","1","1","0","1","1.64471175499784","1",188
34,"3","A","1","new","1","0","0","0","1","0","1","0","2","1.98804905299767","0",188
34,"1","A","1","new","0","1","0","0","1","1","1","1","1","0.852011752998806","1",188
34,"2","A","1","old","0","1","0","0","1","0","1","1","1","1.5540798889997","1",188
34,"3","B","2","new","1","1","0","1","1","0","1","0","2","1.31350568200287","1",188
34,"2","A","1","old","1","0","1","0","1","1","1","1","2","1.85504503899574","0",188
34,"2","B","2","old","0","1","1","1","1","0","0","0","1","2.1536402549973","0",188
34,"1","B","2","new","0","1","1","1","0","0","0","0","1","1.43879513600405","0",188
34,"2","A","1","old","0","1","0","0","1","0","1","1","1","1.30643079100264","1",188
34,"2","B","2","new","1","1","1","1","1","0","1","0","2","1.09152440600155","1",188
34,"3","B","2","new","0","1","0","1","0","0","0","1","1","1.17258225799742","0",188
34,"1","B","2","new","1","1","0","1","0","0","0","0","2","1.14022481399297","1",188
34,"3","B","2","new","0","1","1","0","0","1","0","0","1","1.32113231800031","0",188
34,"2","B","2","new","1","1","1","1","0","0","1","1","2","1.19731097499607","1",188
34,"3","B","2","new","0","1","1","0","0","0","1","0","1","1.18407198400382","0",188
34,"2","B","2","old","1","0","0","1","0","0","0","0","2","1.36540187700302","1",188
34,"2","B","2","old","0","1","1","1","1","0","0","0","1","1.45024011200439","0",188
34,"2","B","2","old","1","1","1","1","0","1","0","1","2","2.67321730299591","1",188
34,"1","B","2","new","1","1","1","1","0","0","1","0","1","3.96403873800591","0",188
34,"3","A","1","new","0","0","0","0","0","1","0","0","1","0.891099144995678","1",188
34,"2","A","1","new","0","0","0","0","1","0","1","0","1","1.3187979439972","1",188
34,"2","B","2","old","1","1","1","0","0","0","1","0","2","1.58693397799652","1",188
34,"2","B","2","new","1","1","0","1","0","0","0","1","2","2.82091798300098","1",188
34,"2","B","2","new","0","1","1","1","0","0","0","1","1","2.13156954099395","0",188
34,"1","B","2","new","1","0","1","1","0","0","0","0","2","1.58573667699966","1",188
34,"1","B","2","new","1","1","1","1","0","1","0","0","2","3.33083060300123","1",188
34,"1","A","1","new","1","0","0","0","1","1","1","1","2","2.49728819099983","0",188
34,"2","B","2","new","1","1","1","0","0","1","0","0","2","2.66071729100076","1",188
34,"2","A","1","new","0","0","1","1","1","1","1","1","1","1.51947371999995","1",188
34,"3","B","2","new","0","0","1","0","0","0","0","0","1","1.30339786799595","0",188
34,"2","A","1","old","0","0","0","1","1","1","1","0","1","1.60213005400146","1",188
34,"3","A","1","new","1","0","0","0","0","1","0","1","2","0.588288679005927","0",188
34,"2","A","1","old","0","0","0","1","1","1","1","0","1","0.800534329006041","1",188
34,"2","A","1","new","0","0","0","0","1","0","0","1","1","0.607235600000422","1",188
34,"3","A","1","new","1","0","1","0","0","1","1","1","2","1.61040443999809","0",188
34,"3","A","1","new","0","0","0","1","0","1","0","1","1","0.99341506500059","1",188
34,"2","B","2","old","1","0","0","1","0","0","0","0","2","1.56612332299846","1",188
34,"2","A","1","new","0","1","0","0","1","1","1","0","1","1.14178297099716","1",188
34,"3","A","1","new","0","0","0","0","1","0","0","0","1","0.789946624005097","1",188
34,"2","A","1","new","0","1","1","0","1","1","1","1","1","2.17667173399968","1",188
34,"1","A","1","new","0","0","0","0","0","1","1","1","1","0.840896384994267","1",188
34,"2","B","2","new","0","1","1","0","0","0","0","0","1","0.99998783099727","0",188
34,"2","B","2","new","0","1","1","1","0","0","1","0","1","0.931827935994079","0",188
34,"3","B","2","new","0","1","0","1","1","0","0","0","1","1.16668235099496","0",188
34,"2","A","1","old","1","0","1","0","1","1","1","1","2","0.994527221999306","0",188
34,"2","A","1","old","0","0","0","0","0","1","0","1","1","0.603288320999127","1",188
34,"2","A","1","new","0","0","0","0","0","0","1","1","1","0.892330257003778","1",188
34,"2","A","1","new","1","0","0","0","0","1","1","1","2","0.681502081999497","0",188
34,"3","B","2","new","1","1","1","1","1","1","0","1","2","2.48260665000271","1",188
34,"1","B","2","new","1","1","1","1","1","0","0","0","2","1.96549187400524","1",188
34,"3","B","2","new","1","1","1","0","0","1","1","0","2","1.42903015499905","1",188
34,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.88614969899936","1",188
34,"2","A","1","old","0","0","0","0","0","1","0","1","1","1.13211889299419","1",188
34,"3","A","1","new","1","1","1","0","1","1","1","1","2","1.35848655999871","0",188
34,"2","B","2","old","1","1","1","1","0","1","0","1","2","1.43707115000143","1",188
34,"1","A","1","new","0","0","0","0","1","0","1","1","1","0.777207240003918","1",188
34,"0","A","1","new","0","0","0","0","1","1","1","1","1","1.03594911700202","1",188
34,"2","B","2","old","1","1","1","0","0","0","1","0","2","1.47167849800462","1",188
34,"2","A","1","new","0","1","0","1","1","1","1","1","1","0.979717139998684","1",188
34,"0","A","1","new","0","0","0","0","1","1","1","1","1","1.42794957799924","1",188
34,"1","A","1","new","0","0","0","1","1","1","1","1","1","1.8469572440008","1",188
34,"1","A","1","new","0","0","1","0","1","1","1","1","1","0.72533386899886","1",188
34,"2","B","2","new","1","1","1","1","1","0","0","1","2","0.547746030999406","1",188
34,"3","A","1","new","0","1","1","0","0","1","1","1","1","0.651573773000564","1",188
34,"1","B","2","new","1","1","1","0","0","0","0","0","2","1.96127278800122","1",188
34,"1","B","2","new","1","1","1","1","0","0","0","1","2","0.515561671003525","1",188
34,"1","A","1","new","0","0","0","0","1","1","0","1","1","0.889258508002968","1",188
34,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.06218978499965","1",188
