"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
63,"1","B","2","new","1","1","1","1","1","1","1","0","2","2.95893825700114","1",75
63,"2","A","1","new","1","0","0","0","0","0","1","0","1","1.22088096800144","1",75
63,"3","A","1","new","0","0","0","0","1","1","0","1","2","2.3345199380019","0",75
63,"2","A","1","new","0","0","0","0","0","1","1","0","2","1.69646248799836","0",75
63,"2","B","2","new","1","0","1","0","1","1","1","1","2","2.82433967899851","1",75
63,"2","B","2","old","1","0","1","1","0","1","1","1","2","1.15914643599899","1",75
63,"3","B","2","new","0","0","0","1","1","1","1","1","2","1.59913218300062","1",75
63,"2","A","1","new","0","0","1","1","0","0","0","0","1","1.61118347799857","1",75
63,"2","B","2","new","1","1","1","1","0","0","1","1","2","0.811009311000817","1",75
63,"3","B","2","new","1","0","1","1","0","0","1","1","2","2.07411214400054","1",75
63,"1","B","2","new","0","1","1","1","1","1","1","1","2","1.42127090899885","1",75
63,"1","B","2","new","1","0","1","1","1","1","1","1","2","1.50393761499799","1",75
63,"2","A","1","old","0","1","0","0","1","0","0","0","1","1.50206497699764","1",75
63,"2","A","1","old","1","0","0","1","0","0","0","0","1","1.66853676000028","1",75
63,"1","B","2","new","1","1","1","1","1","0","1","1","2","1.21282777099987","1",75
63,"2","A","1","new","0","0","1","0","0","0","1","0","1","1.38154698899962","1",75
63,"0","B","2","new","1","1","1","1","1","1","1","1","2","1.58697981399746","1",75
63,"1","A","1","new","0","0","0","0","0","1","0","0","1","1.61480618499991","1",75
63,"2","A","1","new","0","0","0","0","0","1","1","0","1","0.95869824500187","1",75
63,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.96207645100003","1",75
63,"2","A","1","old","0","0","0","0","0","0","1","1","1","1.22848277400044","1",75
63,"2","B","2","old","1","1","0","1","1","0","1","1","2","1.29719169799864","1",75
63,"2","A","1","old","1","0","0","1","0","0","0","0","1","1.13444999400235","1",75
63,"3","B","2","new","0","1","0","0","1","1","1","1","2","2.04734629099767","1",75
