"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
50,"0","A","1","new","0","0","0","0","0","0","0","0","1","2.21228953299942","1",210
50,"1","A","1","new","0","0","1","0","0","0","0","0","1","1.07781691499986","1",210
50,"2","A","1","new","0","1","0","0","0","1","0","0","2","0.786469296999712","0",210
50,"1","B","2","new","1","1","0","1","1","1","1","1","2","0.467313261000527","1",210
50,"3","A","1","new","0","1","0","1","1","0","0","0","2","2.05328837900015","0",210
50,"1","A","1","new","0","0","0","0","0","0","1","0","1","1.5263251080014","1",210
50,"2","B","2","old","1","1","1","1","0","1","0","1","1","1.79615238800034","0",210
50,"3","A","1","new","0","0","1","1","0","0","1","0","2","0.302874670000165","0",210
50,"2","B","2","old","0","1","0","1","1","1","1","1","2","1.18522185999973","1",210
50,"2","A","1","new","0","0","0","0","1","1","0","0","1","0.532599284000753","1",210
50,"3","B","2","new","1","1","0","1","0","1","1","0","1","0.776868535998801","0",210
50,"2","B","2","old","1","1","1","1","1","0","1","0","1","2.50557602700064","0",210
50,"3","B","2","new","1","1","0","0","1","1","0","1","1","2.18056672900093","0",210
50,"2","B","2","old","1","0","1","0","1","1","1","1","2","1.0083238520001","1",210
50,"2","B","2","new","1","1","1","1","1","0","0","1","1","1.11522795400015","0",210
50,"2","A","1","old","1","0","1","0","0","0","0","0","2","0.950509218999286","0",210
50,"2","A","1","old","1","0","1","0","0","0","0","0","1","0.710924406999766","1",210
50,"2","A","1","old","0","0","0","0","1","0","1","0","1","2.79424789699988","1",210
50,"1","B","2","new","1","1","1","1","1","1","0","1","2","2.29715409600067","1",210
50,"2","B","2","old","1","1","1","1","1","0","1","0","1","3.0598408120004","0",210
50,"1","B","2","new","1","1","1","1","1","0","1","1","2","3.37607690099867","1",210
50,"3","A","1","new","0","0","1","0","0","0","1","1","1","2.09486462399946","1",210
50,"1","A","1","new","1","0","0","0","0","0","0","0","2","3.92776877399956","0",210
50,"3","A","1","new","0","0","1","0","0","1","1","0","1","1.80082731000039","1",210
50,"1","A","1","new","0","0","0","1","0","0","0","0","1","0.0147769790000893","1",210
50,"2","A","1","old","0","1","0","1","0","0","0","0","1","0.196718841998518","1",210
50,"0","B","2","new","1","1","1","1","1","1","1","1","2","0.335528307001368","1",210
50,"1","A","1","new","0","0","0","0","0","0","0","1","1","0.578508783999496","1",210
50,"3","B","2","new","1","1","1","1","0","0","0","1","2","1.06741779599906","1",210
50,"3","B","2","new","0","0","1","1","1","0","1","1","2","3.02241078100087","1",210
50,"1","A","1","new","0","0","0","0","1","0","0","0","1","1.22729021799933","1",210
50,"2","B","2","new","1","1","1","1","1","1","0","0","2","1.84281315000044","1",210
50,"2","A","1","old","0","0","0","0","1","0","1","0","1","1.05996373999915","1",210
50,"3","A","1","new","0","0","1","0","1","0","0","1","1","1.74402001800081","1",210
50,"2","B","2","new","1","1","0","0","1","1","1","1","2","2.90281927500109","1",210
50,"1","B","2","new","1","0","1","1","1","1","1","1","1","1.57779894299892","0",210
50,"1","B","2","new","1","1","1","1","1","1","1","0","2","2.43765070799964","1",210
50,"2","A","1","new","1","0","0","0","0","0","0","1","1","2.49575510199975","1",210
50,"3","A","1","new","0","0","0","0","1","0","1","1","1","2.01252736599963","1",210
50,"2","A","1","new","1","0","0","0","0","1","0","0","1","3.6433554539999","1",210
50,"2","B","2","old","0","1","0","1","1","1","1","1","2","2.87131715599935","1",210
50,"2","B","2","new","1","0","1","1","0","1","1","1","1","3.03246169699923","0",210
50,"3","A","1","new","1","0","0","1","0","0","0","1","1","3.49823436400038","1",210
50,"3","B","2","new","0","0","1","1","1","1","1","0","2","2.04825689400059","1",210
50,"1","B","2","new","1","1","1","1","0","1","1","1","1","2.24267622200023","0",210
50,"1","A","1","new","0","1","0","0","0","0","0","0","2","1.61272852299953","0",210
50,"0","B","2","new","1","1","1","1","1","1","1","1","1","2.85499342200092","0",210
50,"2","A","1","old","0","0","0","0","0","1","0","1","1","2.12685689200043","1",210
50,"3","B","2","new","0","1","0","1","0","1","1","1","1","1.97124377299951","0",210
50,"2","A","1","new","0","0","0","0","0","1","0","1","1","1.93142430099942","1",210
50,"2","A","1","old","0","0","0","0","0","1","0","1","1","1.35343829199883","1",210
50,"2","A","1","new","0","0","0","1","1","0","0","0","2","1.10568966600113","0",210
