"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
20,"2","B","2","old","0","1","1","1","0","0","0","1","2","4.31801038500089","1",157
20,"1","A","1","new","1","0","0","0","1","1","1","1","1","1.48234068499914","1",157
20,"1","A","1","new","0","0","0","0","1","1","1","0","1","0.96733814199979","1",157
20,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.15034234599989","1",157
20,"2","B","2","old","1","1","1","1","1","0","1","0","2","1.08996074599963","1",157
20,"3","B","2","new","0","0","0","1","0","0","0","0","1","0.997903134999433","0",157
20,"2","B","2","new","0","1","1","0","0","0","0","0","2","1.03912697499982","1",157
20,"2","B","2","old","1","0","1","1","0","1","0","0","1","1.06837317999998","0",157
20,"3","A","1","new","0","0","1","0","1","1","0","0","2","1.66637994000121","0",157
20,"2","A","1","new","0","1","0","1","1","1","1","1","1","1.06441516799896","1",157
20,"2","A","1","new","0","1","0","0","1","0","1","1","1","0.990138765000665","1",157
20,"2","A","1","new","0","0","0","0","1","1","0","0","1","0.923891660999288","1",157
20,"2","B","2","new","1","1","1","0","0","0","0","1","2","1.16009963400029","1",157
20,"0","A","1","new","0","0","0","0","1","1","1","1","1","1.04505729700031","1",157
20,"2","B","2","new","0","0","1","1","0","0","0","0","2","1.05810660499992","1",157
20,"1","B","2","new","1","1","1","0","0","0","0","0","2","0.905174849000105","1",157
20,"3","B","2","new","1","0","1","1","0","0","1","1","2","0.825712479998401","1",157
20,"3","A","1","new","0","0","1","1","1","1","1","0","2","1.03350818400031","0",157
20,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.33694557700073","1",157
20,"2","B","2","new","1","0","1","1","1","0","0","0","2","1.91688073099976","1",157
20,"2","B","2","old","1","0","1","1","0","1","0","0","2","1.60046030400008","1",157
20,"2","B","2","new","1","1","1","1","1","1","0","0","1","4.4794307659995","0",157
20,"1","B","2","new","1","1","1","1","1","0","0","0","2","1.96662187700167","1",157
20,"1","B","2","new","1","1","1","1","0","1","0","0","2","1.12176511399957","1",157
20,"2","A","1","old","1","0","0","0","1","1","0","1","1","1.09178677400087","1",157
20,"3","A","1","new","1","0","1","0","1","1","1","0","2","1.00131829999918","0",157
20,"0","A","1","new","0","0","0","0","1","1","1","1","1","1.36654068600001","1",157
20,"3","A","1","new","1","0","0","0","0","1","0","1","1","1.21376329600025","1",157
20,"2","A","1","new","0","0","1","0","0","1","1","1","2","0.928555968001092","0",157
20,"3","B","2","new","1","1","0","0","0","0","0","1","1","1.05434470900036","0",157
20,"2","A","1","old","1","0","0","0","1","1","0","1","1","1.04539994300103","1",157
20,"2","B","2","old","1","1","0","0","0","0","0","0","1","1.08662090600046","0",157
20,"2","A","1","new","1","0","1","0","1","1","1","1","2","0.891929834000621","0",157
20,"1","B","2","new","1","1","1","1","0","0","1","0","2","1.62945989299988","1",157
20,"1","A","1","new","0","1","0","0","1","1","1","1","1","1.3784173540007","1",157
20,"3","B","2","new","0","0","1","1","1","0","0","0","2","0.970531560000381","1",157
20,"3","A","1","new","1","1","0","0","0","1","1","1","1","0.826272966998658","1",157
20,"1","A","1","new","0","0","0","0","0","1","1","1","1","0.923265677998643","1",157
20,"3","A","1","new","1","0","0","0","0","1","1","0","1","0.901495549000174","1",157
20,"1","A","1","new","0","0","0","0","1","1","0","1","1","0.889406541999051","1",157
20,"3","A","1","new","0","1","0","0","1","0","1","0","1","2.05509911599984","1",157
20,"2","B","2","old","1","1","1","1","1","0","1","0","2","1.16684035599974","1",157
20,"2","A","1","old","0","0","1","0","1","0","1","1","2","0.86324604299989","0",157
20,"2","B","2","new","1","0","1","1","0","0","1","0","2","0.870123205999334","1",157
20,"1","B","2","new","1","0","1","1","0","0","0","0","2","0.869543073999012","1",157
20,"2","A","1","new","0","0","1","1","1","1","1","1","2","0.918084044000352","0",157
20,"3","A","1","new","1","0","1","0","1","1","0","1","2","0.849964896000529","0",157
20,"3","B","2","new","1","1","0","1","1","0","1","0","1","1.15408787900014","0",157
20,"2","A","1","new","0","1","0","0","0","1","1","1","1","1.752871951001","1",157
20,"2","A","1","old","0","1","0","0","1","1","1","0","1","0.976754023000467","1",157
20,"1","A","1","new","0","0","0","1","1","1","1","1","1","1.27353234500151","1",157
20,"1","B","2","new","1","1","0","1","0","0","0","0","1","0.798537864999162","0",157
20,"3","B","2","new","1","0","0","0","0","0","0","0","1","0.68394112399983","0",157
20,"3","B","2","new","1","1","0","0","0","0","1","0","1","0.974526110001534","0",157
20,"3","B","2","new","1","1","0","1","0","1","0","1","1","0.846604676000425","0",157
20,"2","A","1","old","0","0","1","0","1","0","1","1","2","1.2465009940006","0",157
20,"2","A","1","old","0","0","0","1","0","1","1","1","1","0.982051791999766","1",157
20,"1","B","2","new","0","1","1","1","0","0","0","0","2","0.879799506001291","1",157
20,"2","A","1","old","0","1","0","0","1","1","1","0","1","0.772793137999543","1",157
20,"2","B","2","new","1","1","1","1","1","0","0","1","2","0.959391227001106","1",157
20,"2","B","2","old","0","1","1","1","0","0","0","1","2","1.00049920299898","1",157
20,"2","B","2","old","1","1","0","0","0","0","0","0","1","1.07117696299974","0",157
20,"2","A","1","new","0","0","1","0","1","1","1","0","2","1.10617525400085","0",157
20,"1","A","1","new","0","0","1","0","1","1","1","1","2","1.35352631000023","0",157
20,"2","A","1","old","0","0","0","1","0","1","1","1","1","0.977481676000025","1",157
20,"2","B","2","new","1","1","0","1","1","0","0","0","1","1.20247152299999","0",157
20,"1","B","2","new","1","1","1","1","0","0","0","1","2","0.956200424998315","1",157
20,"1","A","1","new","0","0","0","0","1","0","1","1","1","2.83102139500079","1",157
