"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
29,"0","A","1","new","0","0","0","0","0","0","0","0","2","2.58243966800001","0",177
29,"1","A","1","new","0","0","0","0","0","0","0","1","1","1.62307738300024","1",177
29,"3","A","1","new","1","0","0","1","1","0","0","0","1","2.40366865099986","1",177
29,"1","A","1","new","0","0","0","0","0","0","1","0","1","1.54444358499995","1",177
29,"2","A","1","old","0","1","0","0","0","1","0","0","1","2.39840690499977","1",177
29,"2","A","1","old","0","1","0","0","0","1","0","0","1","1.29866257999993","1",177
29,"3","A","1","new","1","0","1","0","0","1","0","0","2","2.24186344699956","0",177
29,"2","B","2","new","1","1","1","1","1","1","0","0","2","0.988268982000136","1",177
29,"2","B","2","old","0","1","1","1","0","1","1","1","2","1.27843819000009","1",177
29,"1","B","2","new","1","0","1","1","1","1","1","1","2","0.923172109999996","1",177
29,"2","B","2","new","1","1","1","0","1","1","1","0","2","0.773978966999948","1",177
29,"3","B","2","new","0","1","1","0","1","0","1","1","2","2.20542111099985","1",177
29,"2","A","1","new","0","0","0","0","0","1","0","1","2","1.76694076500007","0",177
29,"2","A","1","new","0","1","0","1","0","0","0","0","1","1.63207585000009","1",177
29,"1","B","2","new","1","1","1","1","1","0","1","1","2","1.27776471600009","1",177
29,"2","B","2","new","1","1","0","1","1","1","1","0","2","0.923363244000029","1",177
29,"3","B","2","new","1","0","1","0","1","1","1","0","2","0.900143210999886","1",177
29,"3","B","2","new","1","1","0","0","1","0","1","1","1","0.884436481000193","0",177
29,"1","A","1","new","0","1","0","0","0","0","0","0","1","0.789463564000016","1",177
29,"1","A","1","new","0","0","1","0","0","0","0","0","1","1.75566166299996","1",177
29,"2","B","2","new","1","1","0","0","1","1","1","1","2","0.758484129999943","1",177
29,"2","B","2","old","1","1","1","0","1","1","1","0","2","1.07841338400021","1",177
29,"2","A","1","old","0","0","1","0","0","0","1","0","1","1.03243529700012","1",177
29,"2","B","2","old","1","0","1","1","1","0","1","1","2","1.65932869800008","1",177
29,"1","B","2","new","1","1","1","1","0","1","1","1","2","2.25415972000019","1",177
29,"3","A","1","new","1","0","1","0","0","0","0","1","1","2.72507175499959","1",177
29,"2","B","2","old","1","1","1","0","1","1","1","0","2","1.02281964300028","1",177
29,"3","B","2","new","1","1","0","0","1","1","1","0","2","1.58776410199971","1",177
29,"2","A","1","new","0","1","0","0","0","0","1","0","1","3.64482608699973","1",177
29,"1","B","2","new","1","1","0","1","1","1","1","1","1","1.27675454000018","0",177
29,"0","A","1","new","0","0","0","0","0","0","0","0","1","1.58939396100004","1",177
29,"1","B","2","new","1","1","1","1","1","1","0","1","2","1.42148766899982","1",177
29,"1","A","1","new","0","0","0","0","1","0","0","0","1","1.42849127199997","1",177
29,"2","B","2","old","1","0","1","1","1","0","1","1","2","4.08402089499987","1",177
29,"2","B","2","new","1","1","1","0","1","0","1","1","2","2.45403274899991","1",177
29,"1","A","1","new","0","0","0","0","0","1","0","0","1","1.33007458600014","1",177
29,"2","B","2","old","1","1","0","1","1","1","0","1","1","2.27042474300015","0",177
29,"1","A","1","new","0","0","0","1","0","0","0","0","2","3.57714014900012","0",177
29,"2","B","2","new","1","1","1","0","0","1","1","1","2","0.921630824000204","1",177
29,"3","B","2","new","1","0","1","0","1","1","0","1","2","1.29573717300036","1",177
29,"2","A","1","new","0","1","0","0","0","1","0","0","2","0.45891840000013","0",177
29,"2","A","1","new","1","0","1","0","0","0","0","0","2","2.59603623700013","0",177
29,"2","A","1","old","0","0","0","1","0","0","0","1","1","1.48492607700018","1",177
29,"2","A","1","old","1","0","0","0","1","0","0","0","1","1.85449826700005","1",177
29,"2","A","1","new","1","0","0","0","0","1","0","0","2","2.45769975199983","0",177
29,"1","A","1","new","1","0","0","0","0","0","0","0","2","3.95943562899993","0",177
29,"2","B","2","new","1","1","0","1","1","0","1","1","1","1.6563265259997","0",177
29,"3","A","1","new","1","1","0","0","0","0","0","1","1","1.1715277000003","1",177
29,"0","B","2","new","1","1","1","1","1","1","1","1","2","2.79737048300012","1",177
29,"2","A","1","new","0","0","0","0","1","0","0","1","1","3.09141368799965","1",177
29,"2","A","1","old","0","0","1","0","0","0","1","0","2","2.58531535500015","0",177
29,"0","B","2","new","1","1","1","1","1","1","1","1","2","0.917096528999991","1",177
29,"2","A","1","new","0","0","1","0","0","0","1","0","2","1.87432626899999","0",177
29,"3","A","1","new","1","0","1","1","0","0","0","0","1","1.50896543900035","1",177
29,"2","B","2","old","1","1","0","1","1","1","0","1","2","1.61994803000016","1",177
29,"3","B","2","new","0","1","1","1","0","0","1","1","1","3.65081178200035","0",177
29,"2","B","2","old","0","1","1","1","0","1","1","1","2","1.47680969999965","1",177
29,"1","B","2","new","1","1","1","1","1","1","1","0","2","3.50861677500006","1",177
29,"3","A","1","new","0","0","0","0","1","1","0","1","2","1.07554580199985","0",177
29,"1","B","2","new","1","1","1","0","1","1","1","1","2","0.860678118999658","1",177
29,"3","A","1","new","0","0","0","1","0","0","1","1","1","3.97743765599989","1",177
29,"3","B","2","new","0","0","1","0","1","1","1","1","2","2.57219928799987","1",177
29,"1","B","2","new","0","1","1","1","1","1","1","1","2","1.24018348899972","1",177
29,"2","B","2","new","0","1","1","1","1","1","1","0","2","0.73491962900016","1",177
29,"3","A","1","new","0","1","0","0","1","1","0","0","2","0.939213132000077","0",177
29,"2","A","1","old","1","0","0","0","1","0","0","0","1","0.751250298999821","1",177
29,"2","A","1","old","0","0","0","1","0","0","0","1","1","3.21700839100004","1",177
29,"3","B","2","new","0","1","0","1","1","1","1","0","2","0.755534360000183","1",177
