"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
24,"2","A","1","new","0","1","1","0","1","1","1","1","1","0.677878029000567","1",167
24,"3","B","2","new","1","1","0","1","0","1","1","0","1","1.00008027800141","0",167
24,"3","A","1","new","0","1","1","0","1","1","0","1","2","1.11401991000093","0",167
24,"2","A","1","new","1","0","0","0","1","1","0","1","1","0.955205449001369","1",167
24,"3","B","2","new","1","0","1","1","0","0","1","1","2","1.03995163699983","1",167
24,"0","A","1","new","0","0","0","0","1","1","1","1","1","0.859301440999843","1",167
24,"1","A","1","new","0","0","0","0","1","0","1","1","1","1.12783924799987","1",167
24,"2","A","1","old","0","0","0","1","1","0","1","1","2","0.914859037999122","0",167
24,"1","B","2","new","1","1","1","1","0","0","0","1","1","1.22890728899984","0",167
24,"3","B","2","new","0","0","1","1","1","0","0","0","1","0.949942267001461","0",167
24,"3","A","1","new","1","0","1","0","1","0","1","1","1","1.18189919500037","1",167
24,"2","B","2","new","0","1","0","1","0","0","0","0","2","1.17987954900127","1",167
24,"2","B","2","new","0","1","1","1","0","0","1","0","2","0.796563145999244","1",167
24,"2","B","2","old","1","1","0","1","0","0","1","0","2","0.631813228001192","1",167
24,"1","A","1","new","0","1","0","0","1","1","1","1","1","0.502333055001145","1",167
24,"0","B","2","new","1","1","1","1","0","0","0","0","2","0.74685669199971","1",167
24,"2","B","2","new","1","0","1","1","0","0","1","0","1","0.44910715000151","0",167
24,"3","B","2","new","1","0","1","0","0","0","0","1","2","0.533624428999246","1",167
24,"0","A","1","new","0","0","0","0","1","1","1","1","1","0.484450961999755","1",167
24,"3","B","2","new","1","1","1","1","1","1","1","0","1","0.779445887001202","0",167
24,"1","B","2","new","1","1","1","1","1","0","0","0","2","0.766517247000593","1",167
24,"2","B","2","old","0","0","1","1","0","0","0","0","1","0.467147114999534","0",167
24,"2","B","2","new","1","1","0","1","1","0","0","0","2","0.780460756999673","1",167
24,"2","A","1","old","1","0","0","0","0","1","1","1","1","0.441120134999437","1",167
24,"2","A","1","old","0","1","0","0","1","1","1","0","1","0.610239431000082","1",167
24,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.07541411099919","1",167
24,"2","B","2","old","1","1","1","0","0","0","0","1","1","0.936306421001063","0",167
24,"3","B","2","new","0","1","0","1","0","0","1","0","1","1.31930103599916","0",167
24,"3","A","1","new","0","1","0","1","0","1","1","1","2","1.02090032699925","0",167
24,"1","A","1","new","0","0","1","0","1","1","1","1","1","0.791987500999312","1",167
24,"1","A","1","new","0","0","0","0","0","1","1","1","1","0.915152841998861","1",167
24,"2","A","1","new","1","0","0","0","1","0","1","1","1","0.69900707799934","1",167
24,"1","B","2","new","0","1","1","1","0","0","0","0","2","0.932107556000119","1",167
24,"2","A","1","old","0","0","1","0","1","1","0","1","1","0.652069204001236","1",167
24,"2","B","2","old","1","1","1","0","0","0","0","1","2","0.852007714998763","1",167
24,"2","B","2","new","0","1","1","1","0","1","0","0","1","1.36469760699947","0",167
24,"2","B","2","new","0","1","1","0","0","0","0","0","1","0.922906912001054","0",167
24,"2","B","2","new","1","1","1","1","1","0","0","1","2","0.862892769999235","1",167
24,"2","A","1","new","1","0","1","0","1","1","1","1","1","1.23694905199955","1",167
24,"3","B","2","new","1","1","0","1","1","1","0","0","1","1.28143516199998","0",167
24,"3","A","1","new","1","1","0","0","0","1","1","1","1","1.31789054500041","1",167
24,"2","B","2","old","0","0","1","1","0","0","0","0","2","0.648363545000393","1",167
24,"2","A","1","new","1","1","0","0","1","1","1","1","1","0.844658955998966","1",167
24,"2","A","1","old","0","0","1","0","1","1","0","1","1","0.60665743699974","1",167
24,"3","A","1","new","0","0","0","1","1","1","0","0","2","1.19367768099983","0",167
24,"1","B","2","new","1","1","1","1","0","1","0","0","1","0.663334990000294","0",167
24,"1","A","1","new","1","0","0","0","1","1","1","1","2","0.859512016999361","0",167
24,"1","A","1","new","0","0","0","0","1","1","0","1","2","1.07460168299986","0",167
