"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
32,"1","B","2","new","1","1","0","1","0","0","0","0","1","1.32348255699981","0",183
32,"3","A","1","new","0","1","0","1","0","1","1","1","2","0.756387888000063","0",183
32,"2","B","2","old","1","1","0","1","0","0","1","0","2","0.599484442000175","1",183
32,"1","A","1","new","0","1","0","0","1","1","1","1","1","0.358666396999979","1",183
32,"2","B","2","old","1","1","1","1","1","1","0","0","2","0.644918289000088","1",183
32,"2","A","1","new","1","0","0","0","1","1","0","1","1","0.747360176000257","1",183
32,"1","A","1","new","0","0","0","0","1","1","1","0","2","0.541500753999571","0",183
32,"2","B","2","old","1","1","1","0","0","0","0","1","1","0.802776317999815","0",183
32,"2","B","2","old","1","1","0","1","0","0","1","0","2","0.94465810299971","1",183
32,"2","B","2","new","1","1","0","1","0","1","0","0","2","1.01773222599968","1",183
32,"2","A","1","new","0","0","0","0","0","1","1","0","1","0.808835633999479","1",183
32,"2","B","2","new","1","1","0","1","1","0","0","0","2","1.23228228900007","1",183
32,"3","A","1","new","0","1","1","0","0","1","1","1","1","0.504273741999896","1",183
32,"2","B","2","old","1","1","1","0","0","0","0","1","2","1.00416337700062","1",183
32,"0","A","1","new","0","0","0","0","1","1","1","1","1","0.843903373000103","1",183
32,"3","B","2","new","1","0","1","0","0","0","0","1","2","1.03036691499983","1",183
32,"1","B","2","new","1","1","1","1","1","0","0","0","1","1.26606682300007","0",183
32,"2","B","2","new","0","1","1","0","0","0","0","0","1","1.32294191599976","0",183
32,"1","A","1","new","1","0","0","0","1","1","1","1","2","1.01524256700031","0",183
32,"1","B","2","new","1","1","1","0","0","0","0","0","2","0.788505065000209","1",183
32,"2","A","1","new","0","0","0","0","1","1","0","0","1","1.62930281100034","1",183
32,"3","B","2","new","1","1","1","1","1","1","0","1","2","1.30411886399997","1",183
32,"3","B","2","new","1","0","1","1","0","0","1","1","None",NA,NA,183
32,"1","B","2","new","1","1","1","1","0","0","0","1","1","1.47473958399951","0",183
32,"0","A","1","new","0","0","0","0","1","1","1","1","2","0.496895699000561","0",183
32,"3","A","1","new","0","0","0","1","0","1","0","1","1","0.8983550009998","1",183
32,"2","A","1","old","0","0","0","1","1","0","1","1","1","0.931326920000174","1",183
32,"2","B","2","old","0","0","1","1","0","0","0","0","1","0.768383907000498","0",183
32,"2","A","1","old","0","0","1","0","1","1","0","1","2","1.64828230199964","0",183
32,"1","B","2","new","0","1","1","1","0","0","0","0","2","0.896213115999672","1",183
32,"3","B","2","new","1","1","0","1","1","1","0","0","1","1.97258230599982","0",183
32,"2","A","1","old","0","1","0","0","1","1","1","0","None",NA,NA,183
32,"1","A","1","new","0","0","0","1","1","1","1","1","1","0.715798117999839","1",183
32,"2","B","2","new","1","0","1","1","0","0","1","0","2","0.681978580999385","1",183
32,"1","B","2","new","1","0","1","1","0","0","0","0","1","0.706481550999342","0",183
32,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.25958529499985","1",183
32,"2","A","1","old","1","0","0","0","0","1","1","1","2","0.8321099220002","0",183
32,"1","A","1","new","0","0","0","0","1","1","0","1","1","0.738710523000009","1",183
32,"3","A","1","new","0","0","1","0","0","1","0","1","1","1.0793968830003","1",183
32,"1","A","1","new","0","0","0","0","0","1","1","1","2","0.788463809999485","0",183
32,"2","B","2","new","0","1","1","1","0","1","0","0","1","1.43558326900074","0",183
32,"2","A","1","new","1","0","0","0","1","0","1","1","2","0.908213931000319","0",183
32,"2","B","2","old","0","0","1","1","0","0","0","0","1","2.00256900600016","0",183
32,"2","B","2","new","1","1","1","1","1","0","0","1","2","4.11330950399952","1",183
32,"3","B","2","new","1","1","0","1","0","1","1","0","2","0.733220490999884","1",183
32,"3","A","1","new","0","1","1","0","1","1","0","1","1","4.03200865599956","1",183
32,"2","A","1","old","0","1","0","0","1","1","1","0","2","0.582054757999686","0",183
32,"2","A","1","old","1","0","0","0","0","1","1","1","1","0.334057136999945","1",183
32,"1","B","2","new","1","1","1","1","0","0","1","0","2","0.547095162000005","1",183
32,"1","B","2","new","1","1","1","1","0","1","0","0","1","0.808599136999874","0",183
32,"3","B","2","new","1","1","1","1","1","1","1","0","None",NA,NA,183
32,"2","A","1","old","0","0","1","0","1","1","0","1","1","1.22205705099987","1",183
32,"2","A","1","new","0","0","1","0","1","1","1","0","2","0.789395320999574","0",183
32,"3","A","1","new","1","1","0","0","0","1","1","1","1","0.842035094000494","1",183
32,"0","B","2","new","1","1","1","1","0","0","0","0","2","0.712878265999279","1",183
32,"2","A","1","new","0","1","1","0","1","1","1","1","1","0.717906265999773","1",183
32,"3","A","1","new","0","0","0","1","1","1","0","0","1","1.40496901799997","1",183
32,"2","A","1","new","1","0","1","0","1","1","1","1","1","1.16479597999933","1",183
32,"3","A","1","new","1","0","1","0","1","0","1","1","1","2.06820212499952","1",183
32,"1","A","1","new","0","0","1","0","1","1","1","1","1","0.914354344000458","1",183
32,"3","B","2","new","0","0","1","1","1","0","0","0","None",NA,NA,183
32,"2","B","2","new","0","1","0","1","0","0","0","0","2","1.53568707999966","1",183
32,"3","B","2","new","0","1","0","1","0","0","1","0","2","1.21741554699929","1",183
32,"2","A","1","old","0","0","0","1","1","0","1","1","1","1.19263829600004","1",183
32,"1","A","1","new","0","0","0","0","1","0","1","1","1","3.07855964900045","1",183
32,"0","B","2","new","1","1","1","1","0","0","0","0","2","1.12416402300005","1",183
32,"2","B","2","new","0","1","1","1","0","0","1","0","None",NA,NA,183
32,"2","A","1","new","1","1","0","0","1","1","1","1","2","0.537455290999787","0",183
