"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
58,"1","B","2","new","1","1","0","1","1","1","1","1","2","4.24223604500003","1",224
58,"3","A","1","new","0","0","0","0","0","1","1","1","2","2.50226802500038","0",224
58,"2","A","1","old","0","0","0","0","1","1","0","0","1","1.34040740599994","1",224
58,"3","B","2","new","1","1","1","1","1","0","0","0","1","1.82542620000095","0",224
58,"2","B","2","old","1","1","1","1","0","0","1","1","2","2.30106182300005","1",224
58,"2","A","1","old","0","0","1","1","0","0","0","0","1","1.0443827830004","1",224
58,"1","B","2","new","1","1","1","1","1","1","1","0","2","1.10573526699955","1",224
58,"0","B","2","new","1","1","1","1","1","1","1","1","2","2.21704955000132","1",224
58,"1","B","2","new","1","1","1","1","1","0","1","1","2","2.8503896229995","1",224
58,"2","B","2","new","1","0","1","1","1","1","1","0","2","1.76494879200072","1",224
58,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.25675196500015","1",224
58,"3","B","2","new","1","0","1","1","1","1","0","0","2","0.70179683599963","1",224
58,"2","A","1","old","0","0","0","0","1","1","0","0","1","1.08956577099889","1",224
58,"2","B","2","new","1","1","1","1","1","0","1","0","1","1.2334680920012","0",224
58,"2","A","1","new","0","1","0","0","0","0","1","0","1","0.701504317001309","1",224
58,"1","B","2","new","1","1","1","0","1","1","1","1","2","1.70268430800024","1",224
58,"1","A","1","new","0","0","1","0","0","0","0","0","1","1.62558948600054","1",224
58,"1","B","2","new","1","1","1","1","0","1","1","1","2","2.87337647599998","1",224
58,"1","A","1","new","0","0","0","0","0","0","1","0","1","1.77844684999945","1",224
58,"3","A","1","new","0","0","0","1","1","1","0","0","1","1.91850890500064","1",224
58,"3","A","1","new","1","1","0","0","0","0","0","1","2","1.15802910499951","0",224
58,"3","A","1","new","0","0","0","1","1","0","1","0","1","1.19739211300111","1",224
58,"2","A","1","old","0","0","0","0","0","0","1","1","1","0.696438655999373","1",224
58,"1","B","2","new","0","1","1","1","1","1","1","1","2","2.20988332999877","1",224
58,"3","B","2","new","1","0","0","1","0","1","1","1","2","2.2459448160007","1",224
58,"2","B","2","old","1","1","1","1","1","1","0","0","2","1.654019642001","1",224
58,"2","B","2","old","0","0","1","1","1","1","1","1","2","1.38214477200017","1",224
58,"0","B","2","new","1","1","1","1","1","1","1","1","2","1.55270911099979","1",224
58,"2","B","2","new","0","1","1","0","1","1","1","1","2","1.08899352700064","1",224
58,"2","B","2","new","1","1","1","0","1","1","1","0","2","0.732830569000726","1",224
58,"2","A","1","old","0","0","0","0","0","0","1","1","1","1.39374273399881","1",224
58,"0","A","1","new","0","0","0","0","0","0","0","0","1","2.19196783600091","1",224
58,"2","A","1","new","1","0","1","0","0","0","0","0","1","1.57879650299947","1",224
58,"1","A","1","new","0","0","0","0","0","0","0","1","1","1.43641719100015","1",224
58,"1","B","2","new","1","1","1","1","1","1","0","1","2","1.7077558609999","1",224
58,"2","B","2","old","0","0","1","1","1","1","1","1","2","0.961754466999992","1",224
58,"2","A","1","new","0","0","0","0","0","1","0","1","2","0.960468183000558","0",224
58,"3","A","1","new","0","1","1","0","0","0","1","0","1","1.15074880300017","1",224
58,"2","A","1","new","0","0","0","0","1","0","0","1","1","0.994279553000524","1",224
58,"2","A","1","new","0","1","0","0","0","1","0","0","1","1.06231973400099","1",224
58,"3","A","1","new","0","0","1","0","1","1","0","0","1","0.806142311001167","1",224
58,"1","A","1","new","1","0","0","0","0","0","0","0","1","1.23537294599919","1",224
58,"2","A","1","old","0","0","1","1","0","0","0","0","1","0.986961615999462","1",224
58,"2","B","2","new","1","1","1","1","1","0","0","1","2","1.49284143400109","1",224
58,"1","A","1","new","0","0","0","0","0","1","0","0","1","1.2222829149996","1",224
58,"2","B","2","new","1","0","1","0","1","1","1","1","2","1.43097477800075","1",224
58,"2","A","1","old","1","1","0","0","0","0","0","0","1","2.26405175999935","1",224
58,"0","A","1","new","0","0","0","0","0","0","0","0","1","1.60084700299922","1",224
58,"3","B","2","new","0","1","1","0","0","1","1","1","2","1.32478576899848","1",224
58,"3","B","2","new","0","1","1","0","1","1","1","0","1","0.633867931001078","0",224
58,"1","A","1","new","0","1","0","0","0","0","0","0","1","1.00620212600006","1",224
58,"1","A","1","new","0","0","0","0","1","0","0","0","1","1.27105755299999","1",224
58,"1","B","2","new","1","0","1","1","1","1","1","1","2","1.52203903199916","1",224
58,"3","A","1","new","1","1","1","0","0","0","0","0","1","1.15581847400063","1",224
58,"1","A","1","new","0","0","0","1","0","0","0","0","1","2.71146629599934","1",224
58,"2","B","2","old","1","1","0","0","1","1","1","1","2","2.63634690800063","1",224
58,"3","B","2","new","1","1","0","1","0","1","1","0","2","1.91261761500027","1",224
58,"2","B","2","old","1","1","0","0","1","1","1","1","2","1.5762593519994","1",224
58,"3","A","1","new","1","0","0","0","0","1","1","0","2","0.939282575000107","0",224
58,"2","A","1","old","1","1","0","0","0","0","0","0","1","1.58664791799856","1",224
58,"2","A","1","new","0","0","1","0","0","0","1","0","1","1.06229377500131","1",224
58,"2","A","1","new","1","0","0","0","0","1","0","0","2","1.58235610599877","0",224
58,"2","B","2","new","1","1","0","1","1","0","1","1","2","3.16722635900078","1",224
58,"3","B","2","new","0","0","1","1","0","1","1","1","2","1.6301146750011","1",224
58,"2","B","2","old","1","1","1","1","0","0","1","1","2","1.20033358600085","1",224
58,"2","B","2","new","0","1","0","1","1","1","1","1","2","1.18811877900043","1",224
58,"2","A","1","new","0","1","0","1","0","0","0","0","1","1.2580256479996","1",224
58,"3","B","2","new","1","0","1","0","0","1","1","1","2","2.27399575699928","1",224
